date;Mexico;US;United Kingdom
2020-01-22;0;1;0
2020-01-23;0;1;0
2020-01-24;0;2;0
2020-01-25;0;2;0
2020-01-26;0;5;0
2020-01-27;0;5;0
2020-01-28;0;5;0
2020-01-29;0;6;0
2020-01-30;0;6;0
2020-01-31;0;8;2
2020-02-01;0;8;2
2020-02-02;0;8;2
2020-02-03;0;11;8
2020-02-04;0;11;8
2020-02-05;0;11;9
2020-02-06;0;12;9
2020-02-07;0;12;9
2020-02-08;0;12;13
2020-02-09;0;12;14
2020-02-10;0;12;14
2020-02-11;0;13;15
2020-02-12;0;13;16
2020-02-13;0;14;17
2020-02-14;0;14;18
2020-02-15;0;14;18
2020-02-16;0;14;18
2020-02-17;0;14;19
2020-02-18;0;14;19
2020-02-19;0;14;20
2020-02-20;0;14;22
2020-02-21;0;16;23
2020-02-22;0;16;23
2020-02-23;0;16;28
2020-02-24;0;16;30
2020-02-25;0;16;34
2020-02-26;0;16;37
2020-02-27;0;17;44
2020-02-28;1;17;56
2020-02-29;4;25;61
2020-03-01;5;32;94
2020-03-02;5;55;134
2020-03-03;5;74;189
2020-03-04;5;107;246
2020-03-05;5;184;295
2020-03-06;6;237;374
2020-03-07;6;403;429
2020-03-08;7;519;483
2020-03-09;7;594;630
2020-03-10;7;782;888
2020-03-11;8;1147;1299
2020-03-12;12;1586;1788
2020-03-13;26;2219;2268
2020-03-14;41;2978;2632
2020-03-15;53;3212;3074
2020-03-16;82;4679;3686
2020-03-17;93;6512;4456
2020-03-18;118;9169;5462
2020-03-19;164;13663;6523
2020-03-20;203;20030;7778
2020-03-21;251;26025;8975
2020-03-22;316;34944;10398
2020-03-23;367;46096;12747
2020-03-24;405;56714;15139
2020-03-25;475;68841;17847
2020-03-26;585;86662;20958
2020-03-27;717;105253;24203
2020-03-28;848;127417;27055
2020-03-29;993;143544;29949
2020-03-30;1094;165698;34251
2020-03-31;1215;192079;38788
2020-04-01;1378;223254;43755
2020-04-02;1510;255530;48694
2020-04-03;1688;287931;53645
2020-04-04;1890;319776;57739
2020-04-05;2143;349016;61359
2020-04-06;2439;380798;66715
2020-04-07;2785;410834;72199
2020-04-08;3181;441897;77369
2020-04-09;3441;477507;82281
2020-04-10;3844;511790;86620
2020-04-11;4219;540714;90248
2020-04-12;4661;567022;93784
2020-04-13;5014;594165;97993
2020-04-14;5399;622493;102352
2020-04-15;5847;648390;107454
2020-04-16;6297;678028;112792
2020-04-17;6875;711135;117777
2020-04-18;7497;738464;122508
2020-04-19;8261;763886;126375
2020-04-20;8772;793970;131252
2020-04-21;9501;820045;136023
2020-04-22;10544;849926;141529
2020-04-23;11633;881891;146682
2020-04-24;12872;913856;151662
2020-04-25;13842;944770;155445
2020-04-26;14677;970741;158920
2020-04-27;15529;995391;163627
2020-04-28;16752;1019964;168351
2020-04-29;17799;1046816;173796
2020-04-30;19224;1076518;178765
2020-05-01;20739;1111410;183500
2020-05-02;22088;1138174;186726
2020-05-03;23471;1161907;189702
2020-05-04;24905;1185709;193086
2020-05-05;26025;1209729;196775
2020-05-06;27634;1234211;200612
2020-05-07;29616;1261950;204383
2020-05-08;31522;1289133;207435
2020-05-09;33460;1313587;209585
2020-05-10;35022;1332334;211907
2020-05-11;36327;1351411;215495
2020-05-12;38324;1374792;218892
2020-05-13;40186;1394807;222191
2020-05-14;42595;1420697;224809
2020-05-15;45032;1445548;227330
2020-05-16;47144;1469598;229397
2020-05-17;49219;1488327;231223
2020-05-18;51633;1510635;233799
2020-05-19;54346;1531138;236862
2020-05-20;56594;1553966;239572
2020-05-21;59567;1579118;242126
2020-05-22;62527;1602947;244170
2020-05-23;65856;1623136;245678
2020-05-24;68620;1643310;247033
2020-05-25;71105;1662404;248645
2020-05-26;74560;1681130;250304
2020-05-27;78023;1699893;252113
2020-05-28;81400;1721160;253849
2020-05-29;84627;1746242;255358
2020-05-30;87512;1769322;256465
2020-05-31;90664;1788241;257535
2020-06-01;93435;1806081;258979
2020-06-02;97326;1826171;260449
2020-06-03;101238;1845327;261797
2020-06-04;105680;1873261;263035
2020-06-05;110026;1899701;264146
2020-06-06;113619;1919970;264938
2020-06-07;117103;1937796;265656
2020-06-08;120102;1954696;266751
2020-06-09;124301;1975017;267909
2020-06-10;129184;1996735;269097
2020-06-11;133974;2019013;270104
2020-06-12;139196;2044571;271158
2020-06-13;142690;2068728;272046
2020-06-14;146837;2087629;272853
2020-06-15;150264;2108628;273881
2020-06-16;154863;2133177;274964
2020-06-17;159793;2160227;275964
2020-06-18;165455;2188454;276984
2020-06-19;170485;2219508;277970
2020-06-20;175202;2251334;278636
2020-06-21;180545;2277170;279260
2020-06-22;185122;2306971;280152
2020-06-23;191410;2345700;281034
2020-06-24;196847;2381951;281810
2020-06-25;202951;2421250;282507
2020-06-26;208392;2470296;283148
2020-06-27;212802;2511050;283782
2020-06-28;216852;2553975;284189
2020-06-29;220657;2595272;284809
2020-06-30;226089;2645097;285213
2020-07-01;231770;2694220;285276
2020-07-02;238511;2749163;285282
2020-07-03;245251;2800668;285784
2020-07-04;252165;2846614;286409
2020-07-05;256848;2900342;286928
2020-07-06;261750;2943508;287281
2020-07-07;268008;3000739;287865
2020-07-08;275003;3061045;288507
2020-07-09;282283;3120701;289150
2020-07-10;289174;3189561;289674
2020-07-11;295268;3250000;290500
2020-07-12;299750;3310132;291150
2020-07-13;304435;3369496;291683
2020-07-14;311486;3435158;292927
2020-07-15;317635;3501184;293465
2020-07-16;324041;3571998;294110
2020-07-17;331298;3638470;294797
2020-07-18;338913;3702792;295628
2020-07-19;344224;3761724;296354
2020-07-20;349396;3822387;296940
2020-07-21;356255;3890581;297385
2020-07-22;362274;3958126;297948
2020-07-23;370712;4026012;298727
2020-07-24;378285;4101159;299495
2020-07-25;385036;4165359;300265
2020-07-26;390516;4221198;301016
2020-07-27;395489;4280922;301704
2020-07-28;402697;4345753;302254
2020-07-29;408449;4409882;303058
2020-07-30;416179;4479123;303906
2020-07-31;424637;4543699;304789
2020-08-01;434193;4601277;305558
2020-08-02;439046;4648386;306305
2020-08-03;443813;4690070;307244
2020-08-04;449961;4751727;307915
2020-08-05;456100;4806075;308823
2020-08-06;462690;4866254;309786
2020-08-07;469407;4926841;310687
2020-08-08;475902;4990774;311453
2020-08-09;480278;5045041;312566
2020-08-10;485836;5096658;313384
2020-08-11;492522;5153612;314534
2020-08-12;498380;5208856;315569
2020-08-13;505751;5260512;316719
2020-08-14;511369;5330637;318178
2020-08-15;517714;5383031;319223
2020-08-16;522162;5417693;320336
2020-08-17;525733;5455542;321055
2020-08-18;531239;5500444;322170
2020-08-19;537031;5546328;322998
2020-08-20;543806;5591456;324194
2020-08-21;549734;5639047;325255
2020-08-22;556216;5684719;326587
2020-08-23;560164;5716630;327637
2020-08-24;563705;5750553;328612
2020-08-25;568621;5793226;329809
2020-08-26;573888;5835299;330955
2020-08-27;579914;5885817;332499
2020-08-28;585738;5932287;333796
2020-08-29;591712;5975390;334907
2020-08-30;595841;6009521;336661
2020-08-31;599560;6042883;338076
2020-09-01;606036;6084862;339403
2020-09-02;610957;6124823;340918
2020-09-03;616894;6169964;342698
2020-09-04;623090;6218298;344680
2020-09-05;629409;6261921;346507
2020-09-06;634023;6291040;349499
2020-09-07;637509;6315603;352450
2020-09-08;642860;6342347;354932
2020-09-09;647321;6375987;357611
2020-09-10;652364;6415435;360545
2020-09-11;658299;6460058;364088
2020-09-12;663973;6505641;367593
2020-09-13;668381;6545932;370932
2020-09-14;671716;6578496;373559
2020-09-15;676487;6615674;376669
2020-09-16;680931;6653966;380678
2020-09-17;684113;6699284;384086
2020-09-18;688954;6749468;388417
2020-09-19;694121;6795246;392847
2020-09-20;697663;6836856;396748
2020-09-21;700580;6868899;401121
2020-09-22;705263;6907170;406058
2020-09-23;710049;6948290;412245
2020-09-24;715457;6997173;418890
2020-09-25;720858;7044309;425767
2020-09-26;726431;7087856;431817
2020-09-27;730317;7121635;437522
2020-09-28;733717;7159375;441571
2020-09-29;738163;7201407;448728
2020-09-30;743216;7240039;455847
2020-10-01;748315;7286282;462780
2020-10-02;753090;7339725;469768
2020-10-03;757953;7389006;482652
2020-10-04;761665;7422136;505621
